NOTE: The validation data includes 141 images that the model has never seen and 488 images that it was trained on. I'm aware that this is not a proper way to benchmark it. But since 
the scene in our lab will always look the same, I think it's good enough. I'm trying to just make it work for me. We can make it proper and better later, if need be. all ran on ashik's 
laptop.


model                                         dataset_version           device     weights_type  precision     recall      mAP50     mAP50-95   prep(ms)  infer(ms)   post(ms)  total(ms)
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------
# YOLO26N on my data++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
yolo26n_my_ds_v2_best.pt                      Tennis-ball-in-lab-4      cpu        best           0.969833   0.969365   0.990273     0.688147      1.551     64.592      0.033     66.176
yolo26n_my_ds_v2_last.pt                      Tennis-ball-in-lab-4      cpu        last           0.984212   0.958425   0.990532     0.687849      2.070     65.991      0.043     68.104
yolo26n_my_ds_v2_best.onnx                    Tennis-ball-in-lab-4      cpu        best           0.977343   0.960613   0.987457     0.677298     10.535     35.439      0.156     46.130
yolo26n_my_ds_v2_last.onnx                    Tennis-ball-in-lab-4      cpu        last           0.979639   0.947540   0.984902     0.668644     10.693     36.607      0.168     47.468
yolo26n_my_ds_v2_best_openvino_model          Tennis-ball-in-lab-4      cpu        best           0.977344   0.960613   0.987457     0.677298      0.843     16.955      0.161     17.959
yolo26n_my_ds_v2_last_openvino_model          Tennis-ball-in-lab-4      cpu        last           0.979639   0.947540   0.984902     0.668644      0.832     16.245      0.160     17.237
yolo26n_my_ds_v2_best.engine                  Tennis-ball-in-lab-4      cpu        best                N/A        N/A        N/A          N/A        N/A        N/A        N/A        N/A
yolo26n_my_ds_v2_last.engine                  Tennis-ball-in-lab-4      cpu        last                N/A        N/A        N/A          N/A        N/A        N/A        N/A        N/A

yolo26n_my_ds_v2_best.pt                      Tennis-ball-in-lab-4      cuda:0     best           0.970260   0.969365   0.990273     0.688063      0.931      3.364      0.237      4.531
yolo26n_my_ds_v2_last.pt                      Tennis-ball-in-lab-4      cuda:0     last           0.984118   0.958425   0.990512     0.687292      0.916      3.384      0.201      4.502
yolo26n_my_ds_v2_best.onnx                    Tennis-ball-in-lab-4      cuda:0     best           0.978730   0.960613   0.987429     0.677232      0.870      6.846      0.281      7.998
yolo26n_my_ds_v2_last.onnx                    Tennis-ball-in-lab-4      cuda:0     last           0.981612   0.947484   0.984879     0.668661      0.940      7.248      0.300      8.489
yolo26n_my_ds_v2_best_openvino_model          Tennis-ball-in-lab-4      cuda:0     best                N/A        N/A        N/A          N/A        N/A        N/A        N/A        N/A
yolo26n_my_ds_v2_last_openvino_model          Tennis-ball-in-lab-4      cuda:0     last                N/A        N/A        N/A          N/A        N/A        N/A        N/A        N/A
