epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.3721,1.56115,2.78066,1.3712,0.27356,0.38498,0.24189,0.12935,1.67065,4.5987,1.2778,0.00066369,0.00066369,0.00066369
2,76.2184,1.67564,1.97863,1.42661,0.31307,0.51643,0.28988,0.13674,1.67273,6.98956,1.19846,0.00131719,0.00131719,0.00131719
3,99.7026,1.70326,1.64435,1.45072,0.76295,0.53991,0.60785,0.3269,1.6888,3.26829,1.2711,0.00195748,0.00195748,0.00195748
4,122.578,1.69398,1.53023,1.43379,0.83335,0.68084,0.74217,0.31353,1.78543,1.25469,1.13606,0.0019406,0.0019406,0.0019406
5,145.637,1.64665,1.40214,1.40705,0.87693,0.6356,0.71161,0.35344,1.53367,1.08841,1.09801,0.0019208,0.0019208,0.0019208
6,168.508,1.61885,1.36192,1.38041,0.88524,0.67136,0.74918,0.42127,1.46823,1.2198,1.10795,0.001901,0.001901,0.001901
7,191.505,1.57896,1.28364,1.37314,0.87079,0.69606,0.75941,0.46993,1.31244,1.1158,1.02882,0.0018812,0.0018812,0.0018812
8,214.43,1.57714,1.24465,1.3558,0.91591,0.71362,0.80155,0.46091,1.34516,0.82912,1.03081,0.0018614,0.0018614,0.0018614
9,237.204,1.52293,1.19649,1.34826,0.90601,0.72411,0.78922,0.47112,1.29374,0.82446,1.02247,0.0018416,0.0018416,0.0018416
10,260.149,1.52994,1.13187,1.32517,0.9237,0.73887,0.79857,0.48335,1.29962,0.79485,1.01831,0.0018218,0.0018218,0.0018218
11,282.75,1.52101,1.14537,1.30824,0.85,0.75117,0.77743,0.41343,1.42109,0.91895,1.02526,0.001802,0.001802,0.001802
12,305.185,1.47754,1.09123,1.29351,0.91203,0.7277,0.79092,0.49345,1.18421,0.89385,0.9678,0.0017822,0.0017822,0.0017822
13,328.319,1.4656,1.07146,1.29973,0.94272,0.75117,0.83057,0.493,1.30739,0.86898,1.01545,0.0017624,0.0017624,0.0017624
14,351.538,1.46495,1.04413,1.28863,0.90848,0.78404,0.83085,0.50987,1.23515,0.75821,0.97167,0.0017426,0.0017426,0.0017426
15,374.784,1.42481,1.03332,1.27242,0.8716,0.76488,0.78656,0.42084,1.43672,0.89725,1.0193,0.0017228,0.0017228,0.0017228
16,398.153,1.42388,0.99721,1.28018,0.92999,0.74833,0.82568,0.51722,1.1935,0.71139,0.95606,0.001703,0.001703,0.001703
17,421.152,1.40454,0.98425,1.26615,0.8944,0.74648,0.81741,0.50515,1.23563,0.71984,0.96694,0.0016832,0.0016832,0.0016832
18,444.505,1.38698,0.96617,1.25379,0.9244,0.80374,0.84192,0.50199,1.24612,0.69064,0.98617,0.0016634,0.0016634,0.0016634
19,467.802,1.3958,0.97467,1.25535,0.91239,0.76995,0.82688,0.45206,1.38313,0.79434,1.00124,0.0016436,0.0016436,0.0016436
20,491.073,1.37089,0.93383,1.23484,0.93249,0.75587,0.80915,0.51154,1.16545,0.67272,0.95047,0.0016238,0.0016238,0.0016238
21,514.506,1.35147,0.92627,1.21873,0.9204,0.76526,0.82261,0.5339,1.19457,0.67656,0.98417,0.001604,0.001604,0.001604
22,537.446,1.34618,0.92617,1.21935,0.90022,0.80476,0.83033,0.50662,1.23674,0.71692,1.00804,0.0015842,0.0015842,0.0015842
23,560.619,1.33342,0.89764,1.21218,0.91832,0.7918,0.82905,0.50909,1.25005,0.72958,0.99907,0.0015644,0.0015644,0.0015644
24,583.64,1.33061,0.90103,1.20442,0.94268,0.76056,0.83688,0.51867,1.21881,0.71137,0.96296,0.0015446,0.0015446,0.0015446
25,606.631,1.32356,0.87276,1.20877,0.90985,0.79812,0.85027,0.53567,1.19085,0.66885,0.94048,0.0015248,0.0015248,0.0015248
26,629.841,1.28452,0.84987,1.19085,0.90355,0.79168,0.82269,0.5141,1.18425,0.66612,0.97861,0.001505,0.001505,0.001505
27,652.785,1.26452,0.83106,1.18065,0.90641,0.77297,0.80635,0.49698,1.22748,0.83346,0.97948,0.0014852,0.0014852,0.0014852
28,675.843,1.26749,0.83596,1.19786,0.90487,0.80386,0.8464,0.54716,1.19027,0.62458,0.97198,0.0014654,0.0014654,0.0014654
29,699.019,1.23928,0.80381,1.17596,0.95372,0.77407,0.83167,0.53991,1.14313,0.6484,0.93834,0.0014456,0.0014456,0.0014456
